genes
ABCB1
ABCB11
ABCB4
ABCC3
ABI1
ABL1
ABL2
ACD
ACKR3
ACSL3
ACSL6
ACTA2
ACTB
ACTG1
ACVR1
ACVR1B
ACVR2A
ACVRL1
ADAMTS20
AFF1
AFF2
AFF3
AFF4
AGMO
AGO1
AGO2
AGTR2
AHNAK
AHNAK2
AIFM3
AIMP2
AIP
AJUBA
AKAP9
AKT1
AKT2
AKT3
ALB
ALDH2
ALK
ALOX12B
AMER1
ANKRD11
ANKRD24
ANKRD26
APC
APH1A
APLNR
APOB
APOBEC3G
AR
ARAF
ARFGAP3
ARHGAP26
ARHGAP35
ARHGEF12
ARHGEF28
ARID1A
ARID1B
ARID2
ARID3A
ARID3B
ARID3C
ARID4A
ARID4B
ARID5A
ARID5B
ARNT
ASH2L
ASNS
ASPSCR1
ASXL1
ASXL2
ATF1
ATIC
ATM
ATP1A1
ATP2B3
ATP6AP1
ATP6AP2
ATP6V1B2
ATP7B
ATP8B1
ATR
ATRX
ATXN2
ATXN7
AURKA
AURKB
AURKC
AXIN1
AXIN2
AXL
B2M
BABAM1
BACH2
BAP1
BARD1
BBC3
BCAS3
BCL10
BCL11A
BCL11B
BCL2
BCL2A1
BCL2L1
BCL2L11
BCL2L12
BCL2L2
BCL3
BCL6
BCL7A
BCL9
BCLAF1
BCOR
BCORL1
BCR
BEND2
BIRC2
BIRC3
BIRC5
BIRC6
BLM
BLNK
BMPR1A
BOD1L1
BRAF
BRCA1
BRCA2
BRCC3
BRD3
BRD4
BRINP3
BRIP1
BRSK1
BTG1
BTG2
BTK
BTLA
BUB1B
C3orf70
C8orf34
CACNA1D
CACNA1E
CACNA2D3
CAD
CADM2
CALR
CAMK1
CAMTA1
CANT1
CARD11
CARM1
CASP8
CASR
CBFA2T3
CBFB
CBL
CBLB
CBLC
CBR3
CCDC6
CCND1
CCND2
CCND3
CCNE1
CCT6B
CD19
CD22
CD274
CD276
CD28
CD36
CD40
CD58
CD70
CD74
CD79A
CD79B
CDC25C
CDC42
CDC45
CDC6
CDC7
CDC73
CDCA5
CDH1
CDH11
CDH2
CDH20
CDH23
CDH4
CDH5
CDK1
CDK12
CDK2
CDK4
CDK5
CDK6
CDK8
CDK9
CDKN1A
CDKN1B
CDKN1C
CDKN2A
CDKN2B
CDKN2C
CDT1
CDX2
CEBPA
CENPA
CEP57
CFTR
CHD1
CHD2
CHD4
CHD5
CHD7
CHEK1
CHEK2
CHIC2
CHN1
CHURC1
CIC
CIITA
CKS1B
CLDN18
CLK3
CLP1
CLRN2
CLTC
CLTCL1
CLYBL
CMPK1
CNBP
CNOT3
CNTRL
COL12A1
COL1A1
COL22A1
COL2A1
COL6A3
COL7A1
COPB1
COX6C
CPS1
CRBN
CRCT1
CREB1
CREB3L1
CREB3L2
CREBBP
CRKL
CRLF2
CRTC1
CRTC2
CRTC3
CSDE1
CSF1R
CSF3R
CSMD3
CSNK1A1
CTC1
CTCF
CTDNEP1
CTLA4
CTNNA1
CTNNA3
CTNNB1
CTR9
CTRC
CUL1
CUL3
CUL4A
CUL4B
CUX1
CXCR4
CYLD
CYP17A1
CYP19A1
CYP1B1
